# FULL owned pool: every B/R-identity, Brawl-legal card in the Arena collection (n=1506)
# Sorted by Kuja-corpus inclusion % (6,983 real Kuja decks), then EDHREC rank. incl=- means no corpus row.
# columns: NAME | COST | TYPE | incl | TAGS | oracle

Black Waltz No. 3 | {2}{B}{R} | Legendary Creature - Wizard | 90.5 | WIZ,CAST-TRIG,PING | Flying, deathtouch / Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Electro, Assaulting Battery | {1}{R}{R} | Legendary Creature - Human Villain | 22.4 | CAST-TRIG,PING | Flying / You don't lose unspent red mana as steps and phases end. / Whenever you cast an instant or sorcery spell, add {R}. / When Electro leaves the battlefield, you may pay {X}. When you d
Electrostatic Infantry | {1}{R} | Creature - Dwarf Wizard | 22.3 | WIZ,CAST-TRIG | Trample / Whenever you cast an instant or sorcery spell, put a +1/+1 counter on this creature.
Grapeshot | {1}{R} | Sorcery | 21.4 | PING | Grapeshot deals 1 damage to any target. / Storm
Suplex | {1}{R} | Sorcery | 20.6 | RMVL | Choose one — / • Suplex deals 3 damage to target creature. If that creature would die this turn, exile it instead. / • Exile target artifact.
Malakir Rebirth // Malakir Mire | {B} | Instant // Land | 20.5 | LAND,RITUAL | Choose target creature. You lose 2 life. Until end of turn, that creature gains "When this creature dies, return it to the battlefield tapped under its owner's control." / // / This land ent
Pyretic Ritual | {1}{R} | Instant | 20.3 | RITUAL | Add {R}{R}{R}.
Redirect Lightning | {R} | Instant - Lesson | 20.2 |  | As an additional cost to cast this spell, pay 5 life or pay {2}. / Change the target of target spell or ability with a single target.
Reliquary Tower |  | Land | 20.1 | LAND | You have no maximum hand size. / {T}: Add {C}.
Thunder Magic | {R} | Instant | 19.7 | RMVL | Tiered / • Thunder — {0} — Thunder Magic deals 2 damage to target creature. / • Thundara — {3} — Thunder Magic deals 4 damage to target creature. / • Thundaga — {5}{R} — Thunder Magic deals 
Go for the Throat | {1}{B} | Instant | 19.5 | RMVL | Destroy target nonartifact creature.
Evolving Wilds |  | Land | 19 | LAND | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Expedite | {R} | Instant | 18.4 | CANTRIP | Target creature gains haste until end of turn. / Draw a card.
Longshot, Rebel Bowman | {3}{R} | Legendary Creature - Human Rebel Ally | 17.6 | CHEAPER,CAST-TRIG,PING | Reach / Noncreature spells you cast cost {1} less to cast. / Whenever you cast a noncreature spell, Longshot deals 2 damage to each opponent.
Fire Magic | {R} | Instant | 17.6 | RMVL | Tiered / • Fire — {0} — Fire Magic deals 1 damage to each creature. / • Fira — {2} — Fire Magic deals 2 damage to each creature. / • Firaga — {5} — Fire Magic deals 3 damage to each creature
Bloodfell Caves |  | Land | 17.4 | LAND | This land enters tapped. / When this land enters, you gain 1 life. / {T}: Add {B} or {R}.
Kessig Flamebreather | {1}{R} | Creature - Human Shaman | 17.1 | CAST-TRIG,PING | Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.
Tibalt's Trickery | {1}{R} | Instant | 17 |  | Counter target spell. Choose 1, 2, or 3 at random. Its controller mills that many cards, then exiles cards from the top of their library until they exile a nonland card with a different name
Exsanguinate | {X}{B}{B} | Sorcery | 16.7 |  | Each opponent loses X life. You gain life equal to the life lost this way.
Pinnacle Monk // Mystic Peak | {3}{R}{R} | Creature - Djinn Monk // Land | 16.6 | LAND | Prowess / When this creature enters, return target instant or sorcery card from your graveyard to your hand. / // / As this land enters, you may pay 3 life. If you don't, it enters tapped. /
Fell the Profane // Fell Mire | {2}{B}{B} | Instant // Land | 16.4 | LAND,RITUAL,RMVL | Destroy target creature or planeswalker. / // / As this land enters, you may pay 3 life. If you don't, it enters tapped. / {T}: Add {B}.
Emeritus of Conflict // Lightning Bolt | {1}{R} // {R} | Creature - Human Wizard // Instant | 15.6 | WIZ,CAST-TRIG,PING | First strike / Whenever you cast your third spell each turn, this creature becomes prepared. / // / Lightning Bolt deals 3 damage to any target.
Tablet of Discovery | {2}{R} | Artifact | 15.5 | MANA | When this artifact enters, mill a card. You may play that card this turn. / {T}: Add {R}. / {T}: Add {R}{R}. Spend this mana only to cast instant and sorcery spells.
Summon: Esper Ramuh | {2}{R}{R} | Enchantment Creature - Saga Wizard | 14.7 | WIZ | / I — Judgment Bolt — This creature deals damage equal to the number of noncreature, nonland cards in your graveyard to target creature an opponent controls. / II, III — Wizards you control 
Opera Love Song | {1}{R} | Instant | 14.6 |  | Choose one — / • Exile the top two cards of your library. You may play those cards until your next end step. / • One or two target creatures each get +2/+0 until end of turn.
Seize the Spoils | {2}{R} | Sorcery | 14.5 | TREAS | As an additional cost to cast this spell, discard a card. / Draw two cards and create a Treasure token.
Hexing Squelcher | {1}{R} | Creature - Goblin Sorcerer | 14.4 |  | This spell can't be countered. / Ward—Pay 2 life. / Spells you control can't be countered. / Other creatures you control have "Ward—Pay 2 life."
Undying Malice | {B} | Instant | 14.3 |  | Until end of turn, target creature gains "When this creature dies, return it to the battlefield tapped under its owner's control with a +1/+1 counter on it."
Village Rites | {B} | Instant | 14.2 |  | As an additional cost to cast this spell, sacrifice a creature. / Draw two cards.
Electrostatic Field | {1}{R} | Creature - Wall | 14.2 | CAST-TRIG,PING | Defender / Whenever you cast an instant or sorcery spell, this creature deals 1 damage to each opponent.
Past in Flames | {3}{R} | Sorcery | 14.1 |  | Each instant and sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. / Flashback {4}{R}
Strike It Rich | {R} | Sorcery | 14 | TREAS | Create a Treasure token. / Flashback {2}{R}
Shock | {R} | Instant | 14 | PING | Shock deals 2 damage to any target.
Judith, Carnage Connoisseur | {3}{B}{R} | Legendary Creature - Human Shaman | 14 | CAST-TRIG,PING | Whenever you cast an instant or sorcery spell, choose one — / • That spell gains deathtouch and lifelink. / • Create a 2/2 red Imp creature token with "When this token dies, it deals 2 damag
Urborg, Tomb of Yawgmoth |  | Legendary Land | 13.9 | LAND | Each land is a Swamp in addition to its other land types.
Red Mage's Rapier | {1}{R} | Artifact - Equipment | 13.7 | CAST-TRIG | Job select / Equipped creature has "Whenever you cast a noncreature spell, this creature gets +2/+0 until end of turn" and is a Wizard in addition to its other types. / Equip {3}
Crimson Wisps | {R} | Instant | 13 | CANTRIP | Target creature becomes red and gains haste until end of turn. / Draw a card.
Underworld Breach | {1}{R} | Enchantment | 12.5 |  | Each nonland card in your graveyard has escape. The escape cost is equal to the card's mana cost plus exile three other cards from your graveyard. / At the beginning of the end step, sacrifi
Vector, Imperial Capital |  | Land - Town | 12.1 | LAND | This land enters tapped. / {T}: Add {B} or {R}.
Terramorphic Expanse |  | Land | 11.8 | LAND | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
The Darkness Crystal | {2}{B}{B} | Legendary Artifact | 11.5 | CHEAPER | Black spells you cast cost {1} less to cast. / If a nontoken creature an opponent controls would die, instead exile it and you gain 2 life. / {4}{B}{B}, {T}: Put target creature card exiled 
Bender's Waterskin | {3} | Artifact | 11.2 |  | Untap this artifact during each other player's untap step. / {T}: Add one mana of any color.
Wayfarer's Bauble | {1} | Artifact | 11 |  | {2}, {T}, Sacrifice this artifact: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
Fated Firepower | {X}{R}{R}{R} | Enchantment | 11 | DMG2X | Flash / This enchantment enters with X fire counters on it. / If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus an 
Garland, Knight of Cornelia // Chaos, the Endless | {B}{R} | Legendary Creature - Human Knight // Legendary Creature — Demon | 10.7 | CAST-TRIG | Whenever you cast a noncreature spell, surveil 1. / {3}{B}{B}{R}{R}: Return this card from your graveyard to the battlefield transformed. Activate only as a sorcery. / // / Flying / When Cha
Young Pyromancer | {1}{R} | Creature - Human Shaman | 10.4 | CAST-TRIG | Whenever you cast an instant or sorcery spell, create a 1/1 red Elemental creature token.
Fabled Passage |  | Land | 10.2 | LAND | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.
Wrenn's Resolve | {1}{R} | Sorcery | 9.3 |  | Exile the top two cards of your library. Until the end of your next turn, you may play those cards.
Lightning Strike | {1}{R} | Instant | 9.1 | PING | Lightning Strike deals 3 damage to any target.
Crippling Fear | {2}{B}{B} | Sorcery | 8.9 |  | Choose a creature type. Creatures that aren't of the chosen type get -3/-3 until end of turn.
Gamble | {R} | Sorcery | 8.6 |  | Search your library for a card, put that card into your hand, discard a card at random, then shuffle.
Crash Through | {R} | Sorcery | 8.5 | CANTRIP | Creatures you control gain trample until end of turn. / Draw a card.
Spikefield Hazard // Spikefield Cave | {R} | Instant // Land | 8.5 | LAND,RITUAL,PING | Spikefield Hazard deals 1 damage to any target. If a permanent dealt damage this way would die this turn, exile it instead. / // / This land enters tapped. / {T}: Add {R}.
Virtue of Courage // Embereth Blaze | {3}{R}{R} // {1}{R} | Enchantment // Instant - Adventure | 8.5 | PING | Whenever a source you control deals noncombat damage to an opponent, you may exile that many cards from the top of your library. You may play those cards this turn. / // / Embereth Blaze dea
Vincent's Limit Break | {1}{B} | Instant | 8.4 |  | Tiered / Until end of turn, target creature you control gains "When this creature dies, return it to the battlefield tapped under its owner's control" and has the chosen base power and tough
Slickshot Show-Off | {1}{R} | Creature - Bird Wizard | 8.2 | WIZ,CAST-TRIG | Flying, haste / Whenever you cast a noncreature spell, this creature gets +2/+0 until end of turn. / Plot {1}{R}
Fire Nation Palace |  | Land | 8 | LAND | This land enters tapped unless you control a basic land. / {T}: Add {R}. / {1}{R}, {T}: Target creature you control gains firebending 4 until end of turn.
Fake Your Own Death | {1}{B} | Instant | 7.9 | TREAS | Until end of turn, target creature gets +2/+0 and gains "When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."
Fiery Confluence | {2}{R}{R} | Sorcery | 7.7 | PING,RMVL | Choose three. You may choose the same mode more than once. / • Fiery Confluence deals 1 damage to each creature. / • Fiery Confluence deals 2 damage to each opponent. / • Destroy target arti
Ashling, Flame Dancer | {2}{R}{R} | Legendary Creature - Elemental Shaman | 7.7 | CAST-TRIG,PING,RMVL | You don't lose unspent red mana as steps and phases end. / Magecraft — Whenever you cast or copy an instant or sorcery spell, discard a card, then draw a card. If this is the second time thi
Renegade Tactics | {R} | Sorcery | 7.7 | CANTRIP | Target creature can't block this turn. / Draw a card.
Cavern of Souls |  | Land | 7.4 | LAND | As this land enters, choose a creature type. / {T}: Add {C}. / {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be count
Bolt Bend | {3}{R} | Instant | 7.4 |  | This spell costs {3} less to cast if you control a creature with power 4 or greater. / Change the target of target spell or ability with a single target.
Tormenting Voice | {1}{R} | Sorcery | 7.4 |  | As an additional cost to cast this spell, discard a card. / Draw two cards.
Harnesser of Storms | {2}{R} | Creature - Otter Wizard | 7.4 | WIZ,CAST-TRIG | Whenever you cast a noncreature or Otter spell, you may exile the top card of your library. Until end of turn, you may play that card. This ability triggers only once each turn.
Goliath Daydreamer | {2}{R}{R} | Creature - Giant Wizard | 7.3 | WIZ,CAST-TRIG | Whenever you cast an instant or sorcery spell from your hand, exile that card with a dream counter on it instead of putting it into your graveyard as it resolves. / Whenever this creature at
Fight On! | {2}{B} | Instant | 7.2 |  | Return up to two target creature cards from your graveyard to your hand.
Resentful Revelation | {1}{B} | Sorcery | 6.7 |  | Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard. / Flashback {6}{B}
Rogue's Passage |  | Land | 6.6 | LAND | {T}: Add {C}. / {4}, {T}: Target creature can't be blocked this turn.
Corrupted Conviction | {B} | Instant | 6.6 |  | As an additional cost to cast this spell, sacrifice a creature. / Draw two cards.
Decorum Dissertation | {3}{B}{B} | Sorcery - Lesson | 6.6 |  | Target player draws two cards and loses 2 life. / Paradigm
Burst Lightning | {R} | Instant | 6.6 | PING | Kicker {4} / Burst Lightning deals 2 damage to any target. If this spell was kicked, it deals 4 damage instead.
Sundering Eruption // Volcanic Fissure | {2}{R} | Sorcery // Land | 6.5 | LAND,RITUAL,RMVL | Destroy target land. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle. Creatures without flying can't block this turn. / // / A
Twinflame Tyrant | {3}{R}{R} | Creature - Dragon | 6.1 | DMG2X | Flying / If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals double that damage instead.
Cathartic Reunion | {1}{R} | Sorcery | 6 |  | As an additional cost to cast this spell, discard two cards. / Draw three cards.
Scalding Tarn |  | Land | 5.4 | LAND | {T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle.
Culling the Weak | {B} | Instant | 5.4 | RITUAL | As an additional cost to cast this spell, sacrifice a creature. / Add {B}{B}{B}{B}.
Bitter Triumph | {1}{B} | Instant | 5.3 | RMVL | As an additional cost to cast this spell, discard a card or pay 3 life. / Destroy target creature or planeswalker.
Rakdos Guildgate |  | Land - Gate | 5.2 | LAND | This land enters tapped. / {T}: Add {B} or {R}.
Sheoldred's Edict | {1}{B} | Instant | 5.1 |  | Choose one — / • Each opponent sacrifices a nontoken creature of their choice. / • Each opponent sacrifices a creature token of their choice. / • Each opponent sacrifices a planeswalker of t
Ash Barrens |  | Land | 4.9 | LAND | {T}: Add {C}. / Basic landcycling {1}
Murder | {1}{B}{B} | Instant | 4.8 | RMVL | Destroy target creature.
Sephiroth's Intervention | {3}{B} | Instant | 4.8 | RMVL | Destroy target creature. You gain 2 life.
Phyrexian Tower |  | Legendary Land | 4.7 | LAND | {T}: Add {C}. / {T}, Sacrifice a creature: Add {B}{B}.
Tersa Lightshatter | {2}{R} | Legendary Creature - Orc Wizard | 4.7 | WIZ | Haste / When Tersa Lightshatter enters, discard up to two cards, then draw that many cards. / Whenever Tersa Lightshatter attacks, if there are seven or more cards in your graveyard, exile a
Haste Magic | {1}{R} | Instant | 4.6 |  | Target creature gets +3/+1 and gains haste until end of turn. Exile the top card of your library. You may play it until your next end step.
Emergence Zone |  | Land | 4.5 | LAND | {T}: Add {C}. / {1}, {T}, Sacrifice this land: You may cast spells this turn as though they had flash.
Heartfire Immolator | {1}{R} | Creature - Human Wizard | 4.4 | WIZ | Prowess / {R}, Sacrifice this creature: It deals damage equal to its power to target creature or planeswalker.
Solemn Simulacrum | {4} | Artifact Creature - Golem | - |  | When this creature enters, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. / When this creature dies, you may draw a card.
Flooded Strand |  | Land | - | LAND | {T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.
Misty Rainforest |  | Land | - | LAND | {T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.
Chromatic Lantern | {3} | Artifact | - |  | Lands you control have "{T}: Add one mana of any color." / {T}: Add one mana of any color.
Victimize | {2}{B} | Sorcery | - |  | Choose two target creature cards in your graveyard. Sacrifice a creature. If you do, return the chosen cards to the battlefield tapped.
Ashnod's Altar | {3} | Artifact | - | MANA | Sacrifice a creature: Add {C}{C}.
Gemstone Caverns |  | Legendary Land | - | LAND | If this card is in your opening hand and you're not the starting player, you may begin the game with Gemstone Caverns on the battlefield with a luck counter on it. If you do, exile a card fr
Buried Ruin |  | Land | - | LAND | {T}: Add {C}. / {2}, {T}, Sacrifice this land: Return target artifact card from your graveyard to your hand.
Impact Tremors | {1}{R} | Enchantment | - | PING | Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.
Mox Amber | {0} | Legendary Artifact | - |  | {T}: Add one mana of any color among legendary creatures and planeswalkers you control.
Ornithopter of Paradise | {2} | Artifact Creature - Thopter | - |  | Flying / {T}: Add one mana of any color.
Secluded Courtyard |  | Land | - | LAND | As this land enters, choose a creature type. / {T}: Add {C}. / {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a cr
Unclaimed Territory |  | Land | - | LAND | As this land enters, choose a creature type. / {T}: Add {C}. / {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type.
Mox Opal | {0} | Legendary Artifact | - |  | Metalcraft — {T}: Add one mana of any color. Activate only if you control three or more artifacts.
Zulaport Cutthroat | {1}{B} | Creature - Human Rogue Ally | - |  | Whenever this creature or another creature you control dies, each opponent loses 1 life and you gain 1 life.
Takenuma, Abandoned Mire |  | Legendary Land | - | LAND | {T}: Add {B}. / Channel — {3}{B}, Discard this card: Mill three cards, then return a creature or planeswalker card from your graveyard to your hand. This ability costs {1} less to activate f
Basilisk Collar | {1} | Artifact - Equipment | - |  | Equipped creature has deathtouch and lifelink. / Equip {2}
Syr Konrad, the Grim | {3}{B}{B} | Legendary Creature - Human Knight | - | PING | Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad deals 1 damage to ea
Panharmonicon | {4} | Artifact | - | TRIG2X | If an artifact or creature entering causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Ragavan, Nimble Pilferer | {R} | Legendary Creature - Monkey Pirate | - | TREAS | Whenever Ragavan deals combat damage to a player, create a Treasure token and exile the top card of that player's library. Until end of turn, you may cast that card. / Dash {1}{R}
Darksteel Citadel |  | Artifact Land | - | LAND | Indestructible / {T}: Add {C}.
Entomb | {B} | Instant | - |  | Search your library for a card, put that card into your graveyard, then shuffle.
Blackblade Reforged | {2} | Legendary Artifact - Equipment | - |  | Equipped creature gets +1/+1 for each land you control. / Equip legendary creature {3} / Equip {7}
Arena of Glory |  | Land | - | LAND | This land enters tapped unless you control a Mountain. / {T}: Add {R}. / {R}, {T}, Exert this land: Add {R}{R}. If that mana is spent on a creature spell, it gains haste until end of turn.
Goldspan Dragon | {3}{R}{R} | Creature - Dragon | - | TREAS | Flying, haste / Whenever this creature attacks or becomes the target of a spell, create a Treasure token. / Treasures you control have "{T}, Sacrifice this artifact: Add two mana of any one 
Warren Soultrader | {2}{B} | Creature - Zombie Goblin Wizard | - | WIZ,TREAS | Pay 1 life, Sacrifice another creature: Create a Treasure token.
Sheoldred, the Apocalypse | {2}{B}{B} | Legendary Creature - Phyrexian Praetor | - |  | Deathtouch / Whenever you draw a card, you gain 2 life. / Whenever an opponent draws a card, they lose 2 life.
Goblin Bombardment | {1}{R} | Enchantment | - | PING | Sacrifice a creature: This enchantment deals 1 damage to any target.
Burnished Hart | {3} | Artifact Creature - Elk | - |  | {3}, Sacrifice this creature: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
Rise of the Dark Realms | {7}{B}{B} | Sorcery | - |  | Put all creature cards from all graveyards onto the battlefield under your control.
Massacre Wurm | {3}{B}{B}{B} | Creature - Phyrexian Wurm | - |  | When this creature enters, creatures your opponents control get -2/-2 until end of turn. / Whenever a creature an opponent controls dies, that player loses 2 life.
Terror of the Peaks | {3}{R}{R} | Creature - Dragon | - |  | Flying / Spells your opponents cast that target this creature cost an additional 3 life to cast. / Whenever another creature you control enters, this creature deals damage equal to that crea
Blasphemous Edict | {3}{B}{B} | Sorcery | - |  | You may pay {B} rather than pay this spell's mana cost if there are thirteen or more creatures on the battlefield. / Each player sacrifices thirteen creatures of their choice.
Hedron Archive | {4} | Artifact | - | MANA | {T}: Add {C}{C}. / {2}, {T}, Sacrifice this artifact: Draw two cards.
Bonders' Enclave |  | Land | - | LAND,CANTRIP | {T}: Add {C}. / {3}, {T}: Draw a card. Activate only if you control a creature with power 4 or greater.
Nesting Grounds |  | Land | - | LAND | {T}: Add {C}. / {1}, {T}: Move a counter from target permanent you control onto a second target permanent. Activate only as a sorcery.
Springleaf Drum | {1} | Artifact | - |  | {T}, Tap an untapped creature you control: Add one mana of any color.
Mayhem Devil | {1}{B}{R} | Creature - Devil | - | PING | Whenever a player sacrifices a permanent, this creature deals 1 damage to any target.
