Meren of Clan Nel Toth — identity BG — 421 candidates (collection 719 names, reserved 156)
inc%  lift  mv  rank   $     mk  name | type | oracle
 13.9 +0.8   3   1784   0.4      Honest Rutstein | L.Cr — Human Warlock | When Honest Rutstein enters, return target creature card from your graveyard to your hand. Creature spells you
 13.6 +0.8   3   1007   0.3  MF  Yahenni, Undying Partisan | L.Cr — Aetherborn Vampire | Haste Whenever a creature an opponent controls dies, put a +1/+1 counter on Yahenni. Sacrifice another creatur
 13.5 +0.2   2    259  26.4  MF  Sylvan Library | Ench | At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your han
 13.2 -0.4   0     46   1.1  MF  Fabled Passage | Land | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then 
 12.6 -0.3   3     37   1.6  MF  Kodama's Reach | Sorc — Arcane | Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped an
 12.3 -0.5   1    744   1.4  MF  Revitalizing Repast // Old-Growth Grove | Inst | Put a +1/+1 counter on target creature. It gains indestructible until end of turn. // This land enters tapped.
 12.2 +0.9   1    596   0.4      3x Corrupted Conviction | Inst | As an additional cost to cast this spell, sacrifice a creature. Draw two cards.
 11.3 +0.4   3    583   5.8  M   Saw in Half | Inst | Destroy target creature. If that creature dies this way, its controller creates two tokens that are copies of 
 10.8 +0.5   9    506   5.9      Rise of the Dark Realms | Sorc | Put all creature cards from all graveyards onto the battlefield under your control.
 10.7 -0.4   0   1209   0.3  MF  Haunted Mire | Land — Swamp Forest | ({T}: Add {B} or {G}.) This land enters tapped.
 10.7 +1.0   6   5039   0.3  MF  Izoni, Thousand-Eyed | L.Cr — Elf Shaman | Undergrowth — When Izoni enters, create a 1/1 black and green Insect creature token for each creature card in 
 10.6 -0.1   3    689   0.8  MF  Ophiomancer | Cr — Human Shaman | At the beginning of each upkeep, if you control no Snakes, create a 1/1 black Snake creature token with deatht
 10.4 +0.6   3   1551   0.6      Pawn of Ulamog | Cr — Vampire Shaman | Whenever this creature or another nontoken creature you control dies, you may create a 0/1 colorless Eldrazi S
  9.2 +0.8   3    634   1.4  MF  Boggart Trawler // Boggart Bog | Cr — Goblin | When this creature enters, exile target player's graveyard. // As this land enters, you may pay 3 life. If you
  8.4 +0.5   4   3675   0.2  MF  Smothering Abomination | Cr — Eldrazi | Devoid (This card has no color.) Flying At the beginning of your upkeep, sacrifice a creature. Whenever you sa
  7.9 -0.9   7   1492   1.4      Beledros Witherbloom | L.Cr — Elder Dragon | Flying At the beginning of each upkeep, create a 1/1 black and green Pest creature token with "When this token
  7.7 -0.2   1    530   4.4  MF  Veil of Summer | Inst | Draw a card if an opponent has cast a blue or black spell this turn. Spells you control can't be countered thi
  7.7 -1.1   0     14    -   MF  Path of Ancestry | Land | This land enters tapped. {T}: Add one mana of any color in your commander's color identity. When that mana is 
  7.7 -0.5   0   3695   8.1  MF  Turbulent Fen | Land — Swamp Forest | ({T}: Add {B} or {G}.) This land enters tapped unless your opponents control eight or more lands.
  7.6 +0.1   2   1059   0.7      Bloodghast | Cr — Vampire Spirit | This creature can't block. This creature has haste as long as an opponent has 10 or less life. Landfall — When
  7.5 -0.1   5   2105   0.4  M   Mycoloth | Cr — Fungus | Devour 2 (As this creature enters, you may sacrifice any number of creatures. It enters with twice that many +
  7.5 -0.4   0   2257   0.3  MF  Festering Thicket | Land — Swamp Forest | ({T}: Add {B} or {G}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
  7.2 -0.0   2   1422   0.5  MF  Priest of Forgotten Gods | Cr — Human Cleric | {T}, Sacrifice two other creatures: Any number of target players each lose 2 life and sacrifice a creature of 
  7.1 -0.0   3    752   0.3      Springbloom Druid | Cr — Elf Druid | When this creature enters, you may sacrifice a land. If you do, search your library for up to two basic land c
  6.7 +0.5   3   6149   1.8  MF  Dina, Essence Brewer | L.Cr — Dryad Druid | Whenever you sacrifice a creature, draw a card. This ability triggers only once each turn. {2}, {T}, Sacrifice
  6.2 +0.6   1   4555   1.5      Grist, Voracious Larva // Grist, the Plague Swarm | L.Cr — Insect | Deathtouch Whenever Grist or another creature you control enters, if it entered from your graveyard or you cas
  6.0 +0.2   0     81   0.3      Temple of the False God | Land | {T}: Add {C}{C}. Activate only if you control five or more lands.
  5.7 -0.0   7   1697   0.4  M   Hornet Queen | Cr — Insect | Flying, deathtouch When this creature enters, create four 1/1 green Insect creature tokens with flying and dea
  5.7 +0.6   2   3986   0.3  MF  Old Stickfingers | L.Cr — Horror | When you cast this spell, reveal cards from the top of your library until you reveal X creature cards. Put all
  5.6 -0.4   2   4805   0.3      Deadly Brew | Sorc | Each player sacrifices a creature or planeswalker of their choice. If you sacrificed a permanent this way, you
  5.6 +0.3   4    481   2.4      Diabolic Tutor | Sorc | Search your library for a card, put that card into your hand, then shuffle.
  5.5 +0.9   2   1716   3.6      2x Lively Dirge | Sorc | Spree (Choose one or more additional costs.) + {1} — Search your library for a card, put it into your graveyar
  5.2 -0.8   6   1738   0.3  MF  Casualties of War | Sorc | Choose one or more — • Destroy target artifact. • Destroy target creature. • Destroy target enchantment. • Des
  5.2 -0.8   2   5178   0.3  MF  Witherbloom Charm | Inst | Choose one — • You may sacrifice a permanent. If you do, draw two cards. • You gain 5 life. • Destroy target n
  5.1 +1.5   1   2451   1.9      2x Forsaken Miner | Cr — Skeleton Rogue | This creature can't block. Whenever you commit a crime, you may pay {B}. If you do, return this card from your
  4.8 +1.9   7   1293   0.7      Rune-Scarred Demon | Cr — Demon | Flying When this creature enters, search your library for a card, put it into your hand, then shuffle.
  4.7 +1.0   2   7710   0.4  M   Mosswood Dreadknight // Dread Whispers | Cr — Human Knight | Trample When this creature dies, you may cast it from your graveyard as an Adventure until the end of your nex
  4.7 +1.2   1   2644   0.6      3x Blood Pet | Cr — Thrull | Sacrifice this creature: Add {B}.
  4.6 +0.9   2   1787   0.3      Vengeful Bloodwitch | Cr — Vampire Warlock | Whenever this creature or another creature you control dies, target opponent loses 1 life and you gain 1 life.
  4.5 -0.6   4   5120   0.3  MF  Creakwood Liege | Cr — Horror | Other black creatures you control get +1/+1. Other green creatures you control get +1/+1. At the beginning of 
  4.4 -1.0   2    182   5.4      Night's Whisper | Sorc | You draw two cards and lose 2 life.
  4.3 -0.9   2   2787   0.3      Dina, Soul Steeper | L.Cr — Dryad Druid | Whenever you gain life, each opponent loses 1 life. {1}, Sacrifice another creature: Dina gets +X/+0 until end
  4.0 -0.2   3     51   0.4      Commander's Sphere | Art | {T}: Add one mana of any color in your commander's color identity. Sacrifice this artifact: Draw a card.
  4.0 +1.8   4   4928   1.2  MF  Braids, Cabal Minion | L.Cr — Human Minion | At the beginning of each player's upkeep, that player sacrifices an artifact, creature, or land of their choic
  4.0 -1.0   2    264   0.2  MF  Infernal Grasp | Inst | Destroy target creature. You lose 2 life.
  3.5 -1.3   2   1157   0.3      Plumb the Forbidden | Inst | As an additional cost to cast this spell, you may sacrifice one or more creatures. When you do, copy this spel
  3.3 -0.6   2   1374   0.9      Jadar, Ghoulcaller of Nephalia | L.Cr — Human Wizard | At the beginning of your end step, if you control no creatures with decayed, create a 2/2 black Zombie creatur
  3.2 -0.5   2    232   3.9      Sign in Blood | Sorc | Target player draws two cards and loses 2 life.
  3.2 -1.5   5    460   4.2      Ohran Frostfang | Snow Cr — Snake | Attacking creatures you control have deathtouch. Whenever a creature you control deals combat damage to a play
  3.1 -0.8   0   7631   0.2      Titan's Grave | Land | This land enters tapped. {T}: Add {B} or {G}. {2}{B}{G}, {T}: Surveil 1. (Look at the top card of your library
  3.0 +1.2   2   3702   0.2      Dread Summons | Sorc | Each player mills X cards. For each creature card put into a graveyard this way, you create a tapped 2/2 black
  3.0 -0.8   0   6492   0.2  MF  Witherbloom Campus | Land | This land enters tapped. {T}: Add {B} or {G}. {4}, {T}: Scry 1. (Look at the top card of your library. You may
  3.0 +1.5   6   2869   5.5      Metamorphosis Fanatic | Cr — Human Cleric | Lifelink When this creature enters, return up to one target creature card from your graveyard to the battlefie
  3.0 +2.2   4   6016   0.3  MF  Corpse Augur | Cr — Zombie Wizard | When this creature dies, you draw X cards and you lose X life, where X is the number of creature cards in targ
  2.9 -1.4   5   1297   1.0      Tendershoot Dryad | Cr — Dryad | Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.) At the b
  2.9 -0.4   1   3338   0.3      Studious First-Year // Rampant Growth | Cr — Bear Wizard | This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.
  2.8 -1.1   3   6984   0.6      Immoral Bargain | Sorc | As an additional cost to cast this spell, sacrifice X creatures. Destroy X target nonland permanents.
  2.7 -0.6   2   2416   0.8      Nether Traitor | Cr — Spirit | Haste Shadow (This creature can block or be blocked by only creatures with shadow.) Whenever another creature 
  2.7 +0.3   4   8982   0.3      Beifong's Bounty Hunters | Cr — Human Mercenary | Whenever a nonland creature you control dies, earthbend X, where X is that creature's power. (Target land you 
  2.5 -2.2   1   1151   0.5  M   Pest Infestation | Sorc | Destroy up to X target artifacts and/or enchantments. Create twice X 1/1 black and green Pest creature tokens 
  2.5 +1.7   5   4434   0.3  MF  High-Society Hunter | Cr — Vampire Noble | Flying Whenever this creature attacks, you may sacrifice another creature. If you do, put a +1/+1 counter on t
  2.4 -1.2   3   7698   2.1  MF  Gorma, the Gullet | L.Cr — Pest Frog | Lifelink Whenever another creature you control dies, put a +1/+1 counter on Gorma. Nontoken creatures you cont
  2.4 -1.4   3   6672   0.7      Pest Rescuer | Cr — Dryad Druid | At the beginning of each upkeep, if you don't control a Pest creature token, create a 1/1 black and green Pest
  2.4 +1.1   4   4600   4.4      Necrotic Ooze | Cr — Ooze | As long as this creature is on the battlefield, it has all activated abilities of all creature cards in all gr
  2.3 +2.0   2   8449   1.2      Wake the Dead | Inst | Cast this spell only during combat on an opponent's turn. Return X target creature cards from your graveyard t
  2.3 -0.2   3    840   0.3      Murder | Inst | Destroy target creature.
  2.3 -0.2   0   5261   0.3      Festering Gulch | Land — Desert | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {B} or {G}.
  2.2 -0.7   3    752   3.2      Elvish Spirit Guide | Cr — Elf Spirit | Exile this card from your hand: Add {G}.
  2.2 +0.2   4   3487   0.3      Zombify | Sorc | Return target creature card from your graveyard to the battlefield.
  2.2 -1.6   3   3871   0.4      Blight Mound | Ench | Attacking Pests you control get +1/+0 and have menace. Whenever a nontoken creature you control dies, create a
  2.1 -0.6   3    494  12.1      Vito, Thorn of the Dusk Rose | L.Cr — Vampire Cleric | Whenever you gain life, target opponent loses that much life. {3}{B}{B}: Creatures you control gain lifelink u
  2.0 -1.6   2   6786   0.3      Teacher's Pest | Cr — Skeleton Pest | Menace (This creature can't be blocked except by two or more creatures.) Whenever this creature attacks, you g
  1.9 +0.9   4   6158   0.2      Whisper, Blood Liturgist | L.Cr — Human Cleric | {T}, Sacrifice two creatures: Return target creature card from your graveyard to the battlefield.
  1.9 -1.3   3     92   0.4      Garruk's Uprising | Ench | When this enchantment enters, if you control a creature with power 4 or greater, draw a card. Creatures you co
  1.8 -0.4   2   1152   1.5  MF  Sheoldred's Edict | Inst | Choose one — • Each opponent sacrifices a nontoken creature of their choice. • Each opponent sacrifices a crea
  1.8 -0.6   4   4286   1.5  M   Jenova, Ancient Calamity | L.Cr — Alien | At the beginning of combat on your turn, put a number of +1/+1 counters equal to Jenova's power on up to one o
  1.7 +0.6   3   9601   0.5      Vastlands Scavenger // Bind to Life | Cr — Bear Druid | Deathtouch This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unp
  1.7 -1.4   3   4683   1.0      Moseo, Vein's New Dean | L.Cr — Bird Skeleton Warlock | Flying When Moseo enters, create a 1/1 black and green Pest creature token with "Whenever this token attacks, 
  1.7 +1.3   4   3997   0.3      Grim Servant | Cr — Zombie Warlock | Menace When this creature enters, search your library for a card with mana value less than or equal to your de
  1.7 -0.4   5   4224   4.4  M   The Gitrog, Ravenous Ride | L.Cr — Frog Horror Mount | Trample, haste Whenever The Gitrog deals combat damage to a player, you may sacrifice a creature that saddled 
  1.7 -0.1   6   1130  26.5      Lumra, Bellow of the Woods | L.Cr — Elemental Bear | Reach, vigilance Lumra's power and toughness are each equal to the number of lands you control. When Lumra ent
  1.7 -0.3   4   5822   0.2      Kagha, Shadow Archdruid | L.Cr — Elf Druid | Whenever Kagha attacks, it gains deathtouch until end of turn. Mill two cards. (Put the top two cards of your 
  1.5 -2.0   4   3409   0.2      Mortality Spear | Inst | This spell costs {2} less to cast if you gained life this turn. Destroy target nonland permanent.
  1.5 -1.1   2   8927   0.2      Witherbloom Command | Sorc | Choose two — • Target player mills three cards, then you return a land card from your graveyard to your hand. 
  1.5 -0.2   1    117   0.3      Wayfarer's Bauble | Art | {2}, {T}, Sacrifice this artifact: Search your library for a basic land card, put that card onto the battlefie
  1.5 -1.1   0    713   0.2      Riveteers Overlook | Land | When this land enters, sacrifice it. When you do, search your library for a basic Swamp, Mountain, or Forest c
  1.5 -1.1   6   3753   0.3      Final Act | Sorc | Choose one or more — • Destroy all creatures. • Destroy all planeswalkers. • Destroy all battles. • Exile all 
  1.5 -1.0   5    504   6.7      Sanguine Bond | Ench | Whenever you gain life, target opponent loses that much life.
  1.4 +0.4   1   3941   0.2      Infestation Sage | Cr — Elf Warlock | When this creature dies, create a 1/1 black and green Insect creature token with flying.
  1.4 -1.1   4  11400   0.3      Merchant of Venom | Cr — Cat Warlock | Menace When this creature enters, each player sacrifices a creature of their choice. Whenever a player sacrifi
  1.4 -0.6   1   1314   0.3  MF  2x Undying Malice | Inst | Until end of turn, target creature gains "When this creature dies, return it to the battlefield tapped under i
  1.4 -1.0   2    233   0.2      Explore | Sorc | You may play an additional land this turn. Draw a card.
  1.4 +0.9   4   5380   0.2      Dimir House Guard | Cr — Skeleton | Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) Sacrifice a creatur
  1.3 +0.6   4   1383   2.4  M   Rankle, Master of Pranks | L.Cr — Faerie Rogue | Flying, haste Whenever Rankle deals combat damage to a player, choose any number — • Each player discards a ca
  1.3 -0.2   2   9475   0.3      Lluwen, Imperfect Naturalist | L.Cr — Elf Druid | When Lluwen enters, mill four cards, then you may put a creature or land card from among the milled cards on t
  1.2 -0.4   2   3225   0.3  MF  Tangled Florahedron // Tangled Vale | Cr — Elemental | {T}: Add {G}. // This land enters tapped. {T}: Add {G}.
  1.2 -1.5   4   7542   4.2      Professor Dellian Fel | L.Planeswalker — Dellian | +2: You gain 3 life. 0: You draw a card and lose 1 life. −3: Destroy target creature. −6: You get an emblem wi
  1.2 +0.2   2   3854   0.3      Eviscerator's Insight | Inst | As an additional cost to cast this spell, sacrifice an artifact or creature. Draw two cards. Flashback {4}{B} 
  1.2 -0.6   3   8238   0.3      Arnyn, Deathbloom Botanist | L.Cr — Vampire Druid | Deathtouch Whenever a creature you control with power or toughness 1 or less dies, target opponent loses 2 lif
  1.1 +0.9   2   4204   0.5  M   Vraan, Executioner Thane | L.Cr — Phyrexian Vampire | Whenever one or more other creatures you control die, each opponent loses 2 life and you gain 2 life. This abi
  1.1 -0.5   1   1766   0.2      Supernatural Stamina | Inst | Until end of turn, target creature gets +2/+0 and gains "When this creature dies, return it to the battlefield
  1.1 -1.8   5   2613   0.4      Witch of the Moors | Cr — Human Warlock | Deathtouch At the beginning of your end step, if you gained life this turn, each opponent sacrifices a creatur
  1.1 +1.2   2  11640   0.2      Joo Dee, One of Many | Cr — Human Advisor | {B}, {T}: Surveil 1. Create a token that's a copy of this creature, then sacrifice an artifact or creature. Ac
  1.1 -0.4   2   2116   0.3      Basking Broodscale | Cr — Eldrazi Lizard | Devoid (This card has no color.) {1}{G}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 c
  1.0 +0.7   3  14076   0.2      Long Feng, Grand Secretariat | L.Cr — Human Advisor | Whenever another creature you control or a land you control is put into a graveyard from the battlefield, put 
  1.0 +1.1   4   2046   0.4      Gonti, Lord of Luxury | L.Cr — Aetherborn Rogue | Deathtouch When Gonti enters, look at the top four cards of target opponent's library, exile one of them face 
  1.0 -0.2   3   1938   4.5      Varragoth, Bloodsky Sire | L.Cr — Demon Rogue | Deathtouch Boast — {1}{B}: Target player searches their library for a card, then shuffles and puts that card o
  1.0 -2.2   5   7309   0.3      Ribtruss Roaster | Cr — Troll Druid | Devour 1 (As this creature enters, you may sacrifice any number of creatures. This creature enters with that m
  1.0 -1.0   3   5702   3.3      Vraska, the Silencer | L.Cr — Gorgon Assassin | Deathtouch Whenever a nontoken creature an opponent controls dies, you may pay {1}. If you do, return that car
  1.0 -2.1   2   5133   4.9      Stensian Sanguinist // Exsanguinate | Cr — Vampire Cleric | Whenever you attack, target creature gains deathtouch until end of turn. Whenever that creature deals combat d
  1.0 +0.2   2   1474   1.0      Dreadhorde Invasion | Ench | At the beginning of your upkeep, you lose 1 life and amass Zombies 1. (Put a +1/+1 counter on an Army you cont
  1.0 -0.7   2   1357  13.5  MF  Invasion of Ikoria // Zilortha, Apex of Ikoria | Battle — Siege | (As a Siege enters, choose an opponent to protect it. You and others can attack it. When it's defeated, exile 
  0.9 -2.3   4   7643   0.3      Eccentric Pestfinder // Turn Stones | Cr — Troll Druid | Trample At the beginning of each end step, if you gained life this turn, this creature becomes prepared. (Whil
  0.9 -0.4   4  10226   0.2      Wardens of the Cycle | Cr — Elf Warlock | Morbid — At the beginning of your end step, if a creature died this turn, choose one — • You gain 2 life. • Yo
  0.9 -2.6   5    175   0.8  M   Return of the Wildspeaker | Inst | Choose one — • Draw cards equal to the greatest power among non-Human creatures you control. • Non-Human creat
  0.9 -0.2   2   7276   0.1      Corpse Churn | Inst | Mill three cards, then you may return a creature card from your graveyard to your hand. (To mill three cards, 
  0.9 -1.0   4   6039   0.4      The Swarmweaver | L.Art Cr — Scarecrow | When The Swarmweaver enters, create two 1/1 black and green Insect creature tokens with flying. Delirium — As 
  0.9 -2.7   1    780   0.3      Gilded Goose | Cr — Bird | Flying When this creature enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token:
  0.8 +0.1   6  11844   0.2      Back for More | Inst | Return target creature card from your graveyard to the battlefield. When you do, it fights up to one target cr
  0.8 -0.0   0   2256   0.3      Hidden Grotto | Land | When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) 
  0.8 -0.9   3   2423   2.7      Qarsi Revenant | Cr — Vampire | Flying, deathtouch, lifelink Renew — {2}{B}, Exile this card from your graveyard: Put a flying counter, a deat
