# Owned PAPER pool for The Cabbage Merchant (mono-G identity, Commander-legal). Format = paper Commander, multiplayer (4-player pod, 40 life).
# Sources: deck = the physical deck decks/paper/decks/the-cabbage-merchant.txt | side = the operator's spare pile decks/brawl/cabbage-merchant-sidedeck.txt | open = decks/paper/open-cards.txt (owned paper cards not sleeved in Meren/Imotekh/Tazri/Ramos). Cards sleeved in those four decks are NOT available.
# Corpus = 2001 real Cabbage Merchant paper Commander decks (VPS, 2026-09-14): inc% = share running the card, lift = commander-specific strength (>2 strong). Multiplayer data, so it applies directly.
# db:not_legal after a source = the card DB doubts Commander legality; check before using. Basic Forest is unlimited and not listed.
# inc% | lift | q | source | name | cost | cmc | type | rarity | oracle

95.7 | 3.10 | 1 | deck | Peregrin Took | {2}{G} | 3 | Legendary Creature — Halfling Citizen | uncommon | If one or more tokens would be created under your control, those tokens plus an additional Food token are created instead. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Sacrifice three Foods: Draw a card.
48.7 | 3.68 | 1 | deck | Unlucky Cabbage Merchant | {1}{G} | 2 | Creature — Human Citizen | uncommon | When this creature enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Whenever you sacrifice a Food, you may search your library for a basic land card and put it onto the battlefield tapped. If you search your library this way, put this creature on the bottom of its owner's library, then shuffle.
48.3 | 0.73 | 1 | deck | Archdruid's Charm | {G}{G}{G} | 3 | Instant | rare | Choose one — • Search your library for a creature or land card and reveal it. Put it onto the battlefield tapped if it's a land card. Otherwise, put it into your hand. Then shuffle. • Put a +1/+1 counter on target creature you control. It deals damage equal to its power to target creature you don't control. • Exile target artifact or enchantment.
47.5 | 2.89 | 1 | deck | Many Partings | {G} | 1 | Sorcery | common | Search your library for a basic land card, reveal it, put it into your hand, then shuffle. Create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
46.2 | 2.34 | 1 | open | Gingerbread Cabin |  | 0 | Land — Forest | common | ({T}: Add {G}.) This land enters tapped unless you control three or more other Forests. When this land enters untapped, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
42.2 | 3.76 | 1 | deck | Syr Ginger, the Meal Ender | {2} | 2 | Legendary Artifact Creature — Food Knight | rare | Syr Ginger has trample, hexproof, and haste as long as an opponent controls a planeswalker. Whenever another artifact you control is put into a graveyard from the battlefield, put a +1/+1 counter on Syr Ginger and scry 1. {2}, {T}, Sacrifice Syr Ginger: You gain life equal to its power.
40.5 | 1.09 | 1 | deck | Chord of Calling | {X}{G}{G}{G} | 3 | Instant | rare | Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle.
39.0 | 3.49 | 1 | deck | Teething Wurmlet | {G} | 1 | Creature — Wurm | rare | This creature has deathtouch as long as you control three or more artifacts. Whenever an artifact you control enters, you gain 1 life. If this is the first time this ability has resolved this turn, put a +1/+1 counter on this creature.
37.1 | -0.09 | 1 | deck | Emerald Medallion | {2} | 2 | Artifact | rare | Green spells you cast cost {1} less to cast.
37.1 | 0.96 | 1 | deck | Bridgeworks Battle // Tanglespan Bridgeworks | {2}{G} | 3 | Sorcery // Land | uncommon | Target creature you control gets +2/+2 until end of turn. It fights up to one target creature you don't control. (Each deals damage equal to its power to the other.) // As this land enters, you may pay 3 life. If you don't, it enters tapped. {T}: Add {G}.
35.1 | 3.59 | 1 | deck | Tough Cookie | {1}{G} | 2 | Artifact Creature — Food Golem | uncommon | When this creature enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") {2}{G}: Until end of turn, target noncreature artifact you control becomes a 4/4 artifact creature. {2}, {T}, Sacrifice this creature: You gain 3 life.
34.9 | 1.64 | 1 | side+open | Elvish Spirit Guide | {2}{G} | 3 | Creature — Elf Spirit | uncommon | Exile this card from your hand: Add {G}.
34.1 | 0.60 | 1 | deck | Disciple of Freyalise // Garden of Freyalise | {3}{G}{G}{G} | 6 | Creature — Elf Druid // Land | uncommon | When this creature enters, you may sacrifice another creature. If you do, you gain X life and draw X cards, where X is that creature's power. // As this land enters, you may pay 3 life. If you don't, it enters tapped. {T}: Add {G}.
34.1 | 0.88 | 1 | deck | Seedborn Muse | {3}{G}{G} | 5 | Creature — Spirit | rare | Untap all permanents you control during each other player's untap step.
32.8 | 3.65 | 1 | deck | Bumi's Feast Lecture | {1}{G} | 2 | Sorcery — Lesson | uncommon | Create a Food token. Then earthbend X, where X is twice the number of Foods you control. (A Food token is an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life." To earthbend X, target land you control becomes a 0/0 creature with haste that's still a land. Put X +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
31.6 | 1.97 | 1 | deck | Walking Ballista | {X}{X} | 0 | Artifact Creature — Construct | rare | This creature enters with X +1/+1 counters on it. {4}: Put a +1/+1 counter on this creature. Remove a +1/+1 counter from this creature: It deals 1 damage to any target.
30.6 | 1.49 | 1 | open | Invasion of Ikoria // Zilortha, Apex of Ikoria | {X}{G}{G} | 2 | Battle — Siege // Legendary Creature — Dinosaur | rare | (As a Siege enters, choose an opponent to protect it. You and others can attack it. When it's defeated, exile it, then cast it transformed.) When this Siege enters, search your library and/or graveyard for a non-Human creature card with mana value X or less and put it onto the battlefield. If you search your library this way, shuffle. // Reach For each non-Human creature you control, you may have that creature assign its combat damage as though it weren't blocked.
29.7 | 0.08 | 1 | side | Eternal Witness | {1}{G}{G} | 3 | Creature — Human Shaman | uncommon | When this creature enters, you may return target card from your graveyard to your hand.
29.3 | 3.46 | 1 | deck | Giant Opportunity | {2}{G} | 3 | Sorcery | uncommon | You may sacrifice two Foods. If you do, create a 7/7 green Giant creature token. Otherwise, create three Food tokens. (They're artifacts with "{2}, {T}, Sacrifice this token: You gain 3 life.")
27.2 | 1.81 | 1 | open | Autumn's Veil | {G} | 1 | Instant | uncommon | Spells you control can't be countered by blue or black spells this turn, and creatures you control can't be the targets of blue or black spells this turn.
26.9 | 0.79 | 1 | deck | Force of Vigor | {2}{G}{G} | 4 | Instant | rare | If it's not your turn, you may exile a green card from your hand rather than pay this spell's mana cost. Destroy up to two target artifacts and/or enchantments.
26.7 | 0.48 | 1 | deck | Fog | {G} | 1 | Instant | common | Prevent all combat damage that would be dealt this turn.
26.4 | 1.43 | 1 | side+open | Endurance | {1}{G}{G} | 3 | Creature — Elemental Incarnation | mythic | Flash Reach When this creature enters, up to one target player puts all the cards from their graveyard on the bottom of their library in a random order. Evoke—Exile a green card from your hand.
25.1 | 2.96 | 1 | deck | Bosco, Just a Bear | {4}{G} | 5 | Legendary Creature — Bear | uncommon | When Bosco enters, create a Food token for each legendary creature you control. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") {2}{G}, Sacrifice a Food: Put two +1/+1 counters on Bosco. He gains trample until end of turn.
23.3 | -0.73 | 1 | deck+open | Cultivate | {2}{G} | 3 | Sorcery | common | Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.
21.5 | -0.64 | 1 | deck | Rampant Growth | {1}{G} | 2 | Sorcery | common | Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
21.3 | 3.57 | 1 | deck | Halsin, Emerald Archdruid | {3}{G} | 4 | Legendary Creature — Elf Druid | uncommon | {1}: Until end of turn, target token you control becomes a green Bear creature with base power and toughness 4/4 in addition to its other colors and types. Choose a Background (You can have a Background as a second commander.)
20.0 | 3.67 | 1 | deck | Wicked Wolf | {2}{G}{G} | 4 | Creature — Wolf | rare | When this creature enters, it fights up to one target creature you don't control. Sacrifice a Food: Put a +1/+1 counter on this creature. It gains indestructible until end of turn. Tap it.
19.7 | -0.01 | 1 | deck | Kenrith's Transformation | {1}{G} | 2 | Enchantment — Aura | uncommon | Enchant creature When this Aura enters, draw a card. Enchanted creature loses all abilities and is a green Elk creature with base power and toughness 3/3. (It loses all other card types and creature types.)
17.0 | 1.67 | 1 | deck | Arachnogenesis | {2}{G} | 3 | Instant | rare | Create X 1/2 green Spider creature tokens with reach, where X is the number of creatures attacking you. Prevent all combat damage that would be dealt this turn by non-Spider creatures.
16.8 | 3.52 | 1 | open | Lembas | {2} | 2 | Artifact — Food | common | When this artifact enters, scry 1, then draw a card. {2}, {T}, Sacrifice this artifact: You gain 3 life. When this artifact is put into a graveyard from the battlefield, its owner shuffles it into their library.
15.8 | 3.27 | 1 | deck | Party Dude | {G} | 1 | Enchantment — Class | rare | (Gain the next level as a sorcery to add its ability.) When this Class enters, each player creates a Food token. {1}{G}: Level 2 Whenever an artifact an opponent controls is put into a graveyard from the battlefield, draw a card. {4}{G}: Level 3 Whenever one or more of your opponents are attacked, up to one target attacking creature gets +X/+X until end of turn, where X is the number of cards in your hand.
14.5 | 1.74 | 1 | side+open | Pest Infestation | {X}{X}{G} | 1 | Sorcery | rare | Destroy up to X target artifacts and/or enchantments. Create twice X 1/1 black and green Pest creature tokens with "When this token dies, you gain 1 life."
12.2 | 0.74 | 1 | deck | Ba Sing Se |  | 0 | Land | rare | This land enters tapped unless you control a basic land. {T}: Add {G}. {2}{G}, {T}: Earthbend 2. Activate only as a sorcery. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
10.9 | -1.20 | 1 | deck | Return of the Wildspeaker | {4}{G} | 5 | Instant | mythic | Choose one — • Draw cards equal to the greatest power among non-Human creatures you control. • Non-Human creatures you control get +3/+3 until end of turn.
10.6 | -1.20 | 1 | deck | Kodama's Reach | {2}{G} | 3 | Sorcery — Arcane | common | Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.
10.4 | -0.57 | 1 | deck | Toski, Bearer of Secrets | {3}{G} | 4 | Legendary Creature — Squirrel | rare | This spell can't be countered. Indestructible Toski attacks each combat if able. Whenever a creature you control deals combat damage to a player, draw a card.
10.3 | -0.97 | 1 | deck | Mosswort Bridge |  | 0 | Land | rare | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {G}. {G}, {T}: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater.
10.1 | -1.18 | 1 | open | Rogue's Passage |  | 0 | Land | uncommon | {T}: Add {C}. {4}, {T}: Target creature can't be blocked this turn.
9.2 | 1.71 | 1 | deck | Tangle | {1}{G} | 2 | Instant | common | Prevent all combat damage that would be dealt this turn. Each attacking creature doesn't untap during its controller's next untap step.
8.6 | -0.84 | 1 | deck | Explore | {1}{G} | 2 | Sorcery | common | You may play an additional land this turn. Draw a card.
8.3 | -0.85 | 1 | side+open | Snakeskin Veil | {G} | 1 | Instant | common | Put a +1/+1 counter on target creature you control. It gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
8.3 | 2.63 | 1 | open | Well of Lost Dreams | {4} | 4 | Artifact | rare | Whenever you gain life, you may pay {X}, where X is less than or equal to the amount of life you gained. If you do, draw X cards.
8.2 | -0.91 | 1 | deck | Shamanic Revelation | {3}{G}{G} | 5 | Sorcery | rare | Draw a card for each creature you control. Ferocious — You gain 4 life for each creature you control with power 4 or greater.
7.8 | 0.16 | 1 | deck | The Earth King | {3}{G} | 4 | Legendary Creature — Human Noble Ally | rare | When The Earth King enters, create a 4/4 green Bear creature token. Whenever one or more creatures you control with power 4 or greater attack, search your library for up to that many basic land cards, put them onto the battlefield tapped, then shuffle.
7.5 | 0.96 | 1 | side+open | Helix Pinnacle | {G} | 1 | Enchantment | rare | Shroud (This enchantment can't be the target of spells or abilities.) {X}: Put X tower counters on this enchantment. At the beginning of your upkeep, if there are 100 or more tower counters on this enchantment, you win the game.
7.1 | -1.63 | 1 | deck | Garruk's Uprising | {2}{G} | 3 | Enchantment | uncommon | When this enchantment enters, if you control a creature with power 4 or greater, draw a card. Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.) Whenever a creature you control with power 4 or greater enters, draw a card.
7.0 | 0.58 | 1 | deck | Spore Frog | {G} | 1 | Creature — Frog | common | Sacrifice this creature: Prevent all combat damage that would be dealt this turn.
6.8 | 0.57 | 1 | side+open | Carpet of Flowers | {G} | 1 | Enchantment | uncommon | At the beginning of each of your main phases, if you haven't added mana with this ability this turn, you may add X mana of any one color, where X is the number of Islands target opponent controls.
6.5 | -0.58 | 1 | open | Blighted Woodland |  | 0 | Land | uncommon | {T}: Add {C}. {3}{G}, {T}, Sacrifice this land: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
6.5 | 2.21 | 1 | open | Blossoming Bogbeast | {4}{G} | 5 | Creature — Beast | rare | Whenever this creature attacks, you gain 2 life. Then creatures you control gain trample and get +X/+X until end of turn, where X is the amount of life you gained this turn.
5.0 | 0.77 | 1 | side+open | Hornet Nest | {2}{G} | 3 | Creature — Insect | rare | Defender (This creature can't attack.) Whenever this creature is dealt damage, create that many 1/1 green Insect creature tokens with flying and deathtouch. (Any amount of damage a creature with deathtouch deals to a creature is enough to destroy it.)
4.9 | -0.25 | 1 | deck | Shared Roots | {1}{G} | 2 | Sorcery — Lesson | uncommon | Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
4.7 | -1.58 | 1 | side | Sakura-Tribe Elder | {1}{G} | 2 | Creature — Snake Shaman | common | Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
4.0 | 2.25 | 1 | side+open | Orchard Strider | {4}{G}{G} | 6 | Creature — Treefolk | common | When this creature enters, create two Food tokens. (They're artifacts with "{2}, {T}, Sacrifice this token: You gain 3 life.") Basic landcycling {1}{G} ({1}{G}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)
4.0 | 0.06 | 1 | open | Tendershoot Dryad | {4}{G} | 5 | Creature — Dryad | rare | Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.) At the beginning of each upkeep, create a 1/1 green Saproling creature token. Saprolings you control get +2/+2 as long as you have the city's blessing.
3.4 | -1.56 | 1 | deck | Ohran Frostfang | {3}{G}{G} | 5 | Snow Creature — Snake | rare | Attacking creatures you control have deathtouch. Whenever a creature you control deals combat damage to a player, draw a card.
3.1 | 0.57 | 1 | side+open | Spider-Ham, Peter Porker | {1}{G} | 2 | Legendary Creature — Spider Boar Hero | rare | When Spider-Ham enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Animal May-Ham — Other Spiders, Boars, Bats, Bears, Birds, Cats, Dogs, Frogs, Jackals, Lizards, Mice, Otters, Rabbits, Raccoons, Rats, Squirrels, Turtles, and Wolves you control get +1/+1.
3.0 | 1.81 | 1 | deck | Guac & Marshmallow Pizza | {G} | 1 | Artifact — Food | common | Flash When this artifact enters, target creature gets +2/+2 until end of turn. Untap it. {2}, {T}, Sacrifice this artifact: You gain 3 life.
2.9 | -1.08 | 1 | open | Temple of the False God |  | 0 | Land | uncommon | {T}: Add {C}{C}. Activate only if you control five or more lands.
2.8 | 2.29 | 1 | side+open | Trudge Garden | {2}{G} | 3 | Enchantment | rare | Whenever you gain life, you may pay {2}. If you do, create a 4/4 green Fungus Beast creature token with trample.
2.7 | -1.06 | 1 | side+open | Regrowth | {1}{G} | 2 | Sorcery | uncommon | Return target card from your graveyard to your hand.
2.5 | -1.79 | 1 | deck | Nissa, Who Shakes the World | {3}{G}{G} | 5 | Legendary Planeswalker — Nissa | rare | Whenever you tap a Forest for mana, add an additional {G}. +1: Put three +1/+1 counters on up to one target noncreature land you control. Untap it. It becomes a 0/0 Elemental creature with vigilance and haste that's still a land. −8: You get an emblem with "Lands you control have indestructible." Search your library for any number of Forest cards, put them onto the battlefield tapped, then shuffle.
2.4 | -1.85 | 1 | deck | Ghalta, Primal Hunger | {10}{G}{G} | 12 | Legendary Creature — Elder Dinosaur | rare | This spell costs {X} less to cast, where X is the total power of creatures you control. Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
2.3 | -0.32 | 1 | deck | The Legend of Kyoshi // Avatar Kyoshi | {4}{G}{G} | 6 | Enchantment — Saga // Legendary Creature — Avatar | mythic | (As this Saga enters and after your draw step, add a lore counter.) I — Draw cards equal to the greatest power among creatures you control. II — Earthbend X, where X is the number of cards in your hand. That land becomes an Island in addition to its other types. III — Exile this Saga, then return it to the battlefield transformed under your control. // Lands you control have trample and hexproof. {T}: Add X mana of any one color, where X is the greatest power among creatures you control.
2.0 | -1.05 | 1 | open | Innkeeper's Talent | {1}{G} | 2 | Enchantment — Class | rare | (Gain the next level as a sorcery to add its ability.) At the beginning of combat on your turn, put a +1/+1 counter on target creature you control. {G}: Level 2 Permanents you control with counters on them have ward {1}. {3}{G}: Level 3 If you would put one or more counters on a permanent or player, put twice that many of each of those kinds of counters on that permanent or player instead.
1.9 | -0.28 | 1 | open | Farseek | {1}{G} | 2 | Sorcery | common | Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.
1.8 | 1.23 | 1 | open | Hidden Grotto |  | 0 | Land | common | When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
1.8 | -2.25 | 1 | deck | Selvala, Heart of the Wilds | {1}{G}{G} | 3 | Legendary Creature — Elf Scout | mythic | Whenever another creature enters, its controller may draw a card if its power is greater than each other creature's power. {G}, {T}: Add X mana in any combination of colors, where X is the greatest power among creatures you control.
1.8 | -1.75 | 1 | deck | Forgotten Ancient | {3}{G} | 4 | Creature — Elemental | rare | Whenever a player casts a spell, you may put a +1/+1 counter on this creature. At the beginning of your upkeep, you may move any number of +1/+1 counters from this creature onto other creatures.
1.6 | 0.14 | 2 | open | Conduit Pylons |  | 0 | Land — Desert | common | When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
1.6 | -1.96 | 1 | open | Terramorphic Expanse |  | 0 | Land | common | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
1.5 | -0.96 | 1 | side+open | Goldvein Hydra | {X}{G} | 1 | Creature — Hydra | mythic | Vigilance, trample, haste This creature enters with X +1/+1 counters on it. When this creature dies, create a number of tapped Treasure tokens equal to its power.
1.5 | -1.01 | 1 | deck | Cycle of Renewal | {2}{G} | 3 | Instant — Lesson | common | Sacrifice a land. Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
1.5 | -0.87 | 1 | open | Earthbender Ascension | {2}{G} | 3 | Enchantment | rare | When this enchantment enters, earthbend 2. Then search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Landfall — Whenever a land you control enters, put a quest counter on this enchantment. When you do, if it has four or more quest counters on it, put a +1/+1 counter on target creature you control. It gains trample until end of turn.
1.4 | -1.20 | 1 | open | Hornet Queen | {4}{G}{G}{G} | 7 | Creature — Insect | rare | Flying, deathtouch When this creature enters, create four 1/1 green Insect creature tokens with flying and deathtouch.
1.4 | 0.04 | 1 | deck | Rumble Arena |  | 0 | Land | common | Vigilance When this land enters, scry 1. (Look at the top card of your library. You may put it on the bottom.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
1.4 | -1.44 | 1 | side+open | Studious First-Year // Rampant Growth | {G} // {1}{G} | 1 | Creature — Bear Wizard // Sorcery | common | This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.) // Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
1.4 | -1.32 | 1 | deck | Flare of Cultivation | {1}{G}{G} | 3 | Sorcery | rare | You may sacrifice a nontoken green creature rather than pay this spell's mana cost. Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.
1.3 | -1.69 | 1 | deck | Overrun | {2}{G}{G}{G} | 5 | Sorcery | uncommon | Creatures you control get +3/+3 and gain trample until end of turn. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
1.3 | -0.19 | 1 | side+open | Master Chef | {2}{G} | 3 | Legendary Enchantment — Background | common | Commander creatures you own have "This creature enters with an additional +1/+1 counter on it" and "Other creatures you control enter with an additional +1/+1 counter on them."
1.2 | -0.19 | 1 | side+open | Rocky Rebuke | {1}{G} | 2 | Instant | common | Target creature you control deals damage equal to its power to target creature an opponent controls.
1.2 | -0.96 | 1 | side+open | Primeval Bounty | {5}{G} | 6 | Enchantment | mythic | Whenever you cast a creature spell, create a 3/3 green Beast creature token. Whenever you cast a noncreature spell, put three +1/+1 counters on target creature you control. Landfall — Whenever a land you control enters, you gain 3 life.
1.2 | -0.36 | 1 | deck | Avatar Kyoshi, Earthbender | {5}{G}{G}{G} | 8 | Legendary Creature — Human Avatar | mythic | During your turn, Avatar Kyoshi has hexproof. At the beginning of combat on your turn, earthbend 8, then untap that land. (Target land you control becomes a 0/0 creature with haste that's still a land. Put eight +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
1.1 | -1.66 | 1 | deck | Cankerbloom | {1}{G} | 2 | Creature — Phyrexian Fungus | uncommon | {1}, Sacrifice this creature: Choose one — • Destroy target artifact. • Destroy target enchantment. • Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
1.1 | 0.87 | 1 | open | Ageless Entity | {3}{G}{G} | 5 | Creature — Elemental | rare | Whenever you gain life, put that many +1/+1 counters on this creature.
1.0 | -2.08 | 1 | side+open | Bushwhack | {G} | 1 | Sorcery | common | Choose one — • Search your library for a basic land card, reveal it, put it into your hand, then shuffle. • Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
1.0 | -1.44 | 1 | open | Springleaf Parade | {X}{G}{G} | 2 | Enchantment | rare | When this enchantment enters, create X 1/1 colorless Shapeshifter creature tokens with changeling. (They're every creature type.) Creature tokens you control have "{T}: Add one mana of any color."
1.0 | -2.00 | 1 | deck | Loot, Exuberant Explorer | {2}{G} | 3 | Legendary Creature — Beast Noble | rare | You may play an additional land on each of your turns. {4}{G}{G}, {T}: Look at the top six cards of your library. You may reveal a creature card with mana value less than or equal to the number of lands you control from among them and put it onto the battlefield. Put the rest on the bottom in a random order.
1.0 | -0.83 | 1 | side+open | Fertile Ground | {1}{G} | 2 | Enchantment — Aura | common | Enchant land Whenever enchanted land is tapped for mana, its controller adds an additional one mana of any color.
0.9 | -0.46 | 1 | open | Wayfarer's Bauble | {1} | 1 | Artifact | common | {2}, {T}, Sacrifice this artifact: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
0.9 | -0.60 | 1 | deck | Crystalline Armor | {3}{G} | 4 | Enchantment — Aura | rare | Enchant creature Enchanted creature gets +1/+1 for each land you control and has trample.
0.8 | -0.05 | 1 | side+open | Pillar Launch | {G} | 1 | Instant | common | Target creature gets +2/+2 and gains reach until end of turn. Untap it.
0.8 | -2.20 | 1 | open | Lumra, Bellow of the Woods | {4}{G}{G} | 6 | Legendary Creature — Elemental Bear | mythic | Reach, vigilance Lumra's power and toughness are each equal to the number of lands you control. When Lumra enters, mill four cards. Then return all land cards from your graveyard to the battlefield tapped.
0.7 | -1.13 | 1 | open | Magus of the Candelabra | {G} | 1 | Creature — Human Wizard | rare | {X}, {T}: Untap X target lands.
0.7 | 0.14 | 1 | open | Alhammarret's Archive | {5} | 5 | Legendary Artifact | mythic | If you would gain life, you gain twice that much life instead. If you would draw a card except the first one you draw in each of your draw steps, draw two cards instead.
0.7 | -1.62 | 1 | open | Arid Archway |  | 0 | Land — Desert | uncommon | This land enters tapped. When this land enters, return a land you control to its owner's hand. If another Desert was returned this way, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Add {C}{C}.
0.7 | -1.26 | 1 | side+open | Noxious Newt | {1}{G} | 2 | Creature — Salamander | common | Deathtouch {T}: Add {G}.
0.7 | 0.96 | 1 | open | Torpor Orb | {2} | 2 | Artifact | mythic | Creatures entering don't cause abilities to trigger.
0.7 | -1.60 | 1 | side+open | Brawn | {3}{G} | 4 | Creature — Incarnation | uncommon | Trample As long as this card is in your graveyard and you control a Forest, creatures you control have trample.
0.7 | -0.38 | 1 | side | Gilded Lotus | {5} | 5 | Artifact | rare | {T}: Add three mana of any one color.
