# Owned Arena pool for The Cabbage Merchant (mono-G identity, brawl-legal). Collection = DB export 2026-07-02 UNION snapshot verify-2026-09-10/arena-collection-0911.txt (2026-09-11) UNION the current deck decks/brawl/cabbage-merchant-current.txt (2026-09-18). Corpus = 2001 Cabbage Merchant decks (VPS, 2026-09-14).
# inc% = share of those decks running the card | lift = corpus lift vs baseline (higher = more commander-specific) | q = copies owned
# legality: legal = Brawl-legal per card DB | deck = in the current Arena Brawl deck (proven playable; DB may say otherwise) | side = in the current Arena sideboard pile (proven owned) | db:not_legal = owned but the card DB says not Brawl-legal (often stale for Arena-only additions; use only if you KNOW it is on Arena Brawl and flag it)
# inc% | lift | q | legality | name | cost | cmc | type | rarity | oracle

95.7 | 3.10 | 1 | deck | Peregrin Took | {2}{G} | 3 | Legendary Creature — Halfling Citizen | uncommon | If one or more tokens would be created under your control, those tokens plus an additional Food token are created instead. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Sacrifice three Foods: Draw a card.
57.0 | 1.29 | 1 | deck | Tireless Provisioner | {2}{G} | 3 | Creature — Elf Scout | uncommon | Landfall — Whenever a land you control enters, create a Food token or a Treasure token. (Food is an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life." Treasure is an artifact with "{T}, Sacrifice this token: Add one mana of any color.")
53.4 | 0.13 | 1 | deck | Elvish Mystic | {G} | 1 | Creature — Elf Druid | common | {T}: Add {G}.
51.9 | 3.75 | 1 | deck | Displaced Dinosaurs | {5}{G}{G} | 7 | Creature — Dinosaur | uncommon | As a historic permanent you control enters, it becomes a 7/7 Dinosaur creature in addition to its other types. (Artifacts, legendaries, and Sagas are historic.)
49.2 | 2.49 | 1 | deck | Idol of Oblivion | {2} | 2 | Artifact | rare | {T}: Draw a card. Activate only if you created a token this turn. {8}, {T}, Sacrifice this artifact: Create a 10/10 colorless Eldrazi creature token.
48.7 | 3.17 | 2 | legal | Inventors' Fair |  | 0 | Legendary Land | rare | At the beginning of your upkeep, if you control three or more artifacts, you gain 1 life. {T}: Add {C}. {4}, {T}, Sacrifice Inventors' Fair: Search your library for an artifact card, reveal it, put it into your hand, then shuffle. Activate only if you control three or more artifacts.
48.7 | 3.68 | 4 | deck | Unlucky Cabbage Merchant | {1}{G} | 2 | Creature — Human Citizen | uncommon | When this creature enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Whenever you sacrifice a Food, you may search your library for a basic land card and put it onto the battlefield tapped. If you search your library this way, put this creature on the bottom of its owner's library, then shuffle.
48.3 | 0.73 | 1 | deck | Archdruid's Charm | {G}{G}{G} | 3 | Instant | rare | Choose one — • Search your library for a creature or land card and reveal it. Put it onto the battlefield tapped if it's a land card. Otherwise, put it into your hand. Then shuffle. • Put a +1/+1 counter on target creature you control. It deals damage equal to its power to target creature you don't control. • Exile target artifact or enchantment.
47.5 | 2.89 | 1 | deck | Many Partings | {G} | 1 | Sorcery | common | Search your library for a basic land card, reveal it, put it into your hand, then shuffle. Create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
46.3 | 3.93 | 1 | legal | Fomori Vault |  | 0 | Land | mythic | {T}: Add {C}. {3}, {T}, Discard a card: Look at the top X cards of your library, where X is the number of artifacts you control. Put one of those cards into your hand and the rest on the bottom of your library in a random order.
43.5 | 0.80 | 3 | legal | Worldly Tutor | {G} | 1 | Instant | rare | Search your library for a creature card, reveal it, then shuffle and put the card on top.
42.2 | 3.76 | 1 | deck | Syr Ginger, the Meal Ender | {2} | 2 | Legendary Artifact Creature — Food Knight | rare | Syr Ginger has trample, hexproof, and haste as long as an opponent controls a planeswalker. Whenever another artifact you control is put into a graveyard from the battlefield, put a +1/+1 counter on Syr Ginger and scry 1. {2}, {T}, Sacrifice Syr Ginger: You gain life equal to its power.
40.5 | 1.09 | 1 | deck | Chord of Calling | {X}{G}{G}{G} | 3 | Instant | rare | Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle.
39.0 | 3.49 | 1 | deck | Teething Wurmlet | {G} | 1 | Creature — Wurm | rare | This creature has deathtouch as long as you control three or more artifacts. Whenever an artifact you control enters, you gain 1 life. If this is the first time this ability has resolved this turn, put a +1/+1 counter on this creature.
38.0 | 1.12 | 1 | legal | Veil of Summer | {G} | 1 | Instant | uncommon | Draw a card if an opponent has cast a blue or black spell this turn. Spells you control can't be countered this turn. You and permanents you control gain hexproof from blue and from black until end of turn. (You and they can't be the targets of blue or black spells or abilities your opponents control.)
37.2 | 0.64 | 1 | legal | Crop Rotation | {G} | 1 | Instant | uncommon | As an additional cost to cast this spell, sacrifice a land. Search your library for a land card, put that card onto the battlefield, then shuffle.
37.1 | -0.09 | 1 | deck | Emerald Medallion | {2} | 2 | Artifact | rare | Green spells you cast cost {1} less to cast.
37.1 | 0.96 | 1 | deck | Bridgeworks Battle // Tanglespan Bridgeworks | {2}{G} | 3 | Sorcery // Land | uncommon | Target creature you control gets +2/+2 until end of turn. It fights up to one target creature you don't control. (Each deals damage equal to its power to the other.) // As this land enters, you may pay 3 life. If you don't, it enters tapped. {T}: Add {G}.
35.1 | 3.59 | 1 | deck | Tough Cookie | {1}{G} | 2 | Artifact Creature — Food Golem | uncommon | When this creature enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") {2}{G}: Until end of turn, target noncreature artifact you control becomes a 4/4 artifact creature. {2}, {T}, Sacrifice this creature: You gain 3 life.
34.9 | 1.64 | 1 | side/db:not_legal | Elvish Spirit Guide | {2}{G} | 3 | Creature — Elf Spirit | uncommon | Exile this card from your hand: Add {G}.
34.1 | 0.60 | 1 | deck | Disciple of Freyalise // Garden of Freyalise | {3}{G}{G}{G} | 6 | Creature — Elf Druid // Land | uncommon | When this creature enters, you may sacrifice another creature. If you do, you gain X life and draw X cards, where X is that creature's power. // As this land enters, you may pay 3 life. If you don't, it enters tapped. {T}: Add {G}.
34.1 | 0.88 | 1 | deck | Seedborn Muse | {3}{G}{G} | 5 | Creature — Spirit | rare | Untap all permanents you control during each other player's untap step.
32.8 | 3.65 | 1 | deck | Bumi's Feast Lecture | {1}{G} | 2 | Sorcery — Lesson | uncommon | Create a Food token. Then earthbend X, where X is twice the number of Foods you control. (A Food token is an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life." To earthbend X, target land you control becomes a 0/0 creature with haste that's still a land. Put X +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
32.7 | 1.66 | 1 | legal | Emergence Zone |  | 0 | Land | uncommon | {T}: Add {C}. {1}, {T}, Sacrifice this land: You may cast spells this turn as though they had flash.
32.6 | 0.93 | 1 | legal | Doubling Season | {4}{G} | 5 | Enchantment | mythic | If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead. If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instead.
31.8 | 1.52 | 4 | legal | Formidable Speaker | {2}{G} | 3 | Creature — Elf Druid | rare | When this creature enters, you may discard a card. If you do, search your library for a creature card, reveal it, put it into your hand, then shuffle. {1}, {T}: Untap another target permanent.
31.6 | 1.97 | 1 | deck | Walking Ballista | {X}{X} | 0 | Artifact Creature — Construct | rare | This creature enters with X +1/+1 counters on it. {4}: Put a +1/+1 counter on this creature. Remove a +1/+1 counter from this creature: It deals 1 damage to any target.
31.0 | 1.70 | 1 | legal | Gemstone Caverns |  | 0 | Legendary Land | mythic | If this card is in your opening hand and you're not the starting player, you may begin the game with Gemstone Caverns on the battlefield with a luck counter on it. If you do, exile a card from your hand. {T}: Add {C}. If Gemstone Caverns has a luck counter on it, instead add one mana of any color.
30.8 | 1.94 | 2 | db:banned | Chrome Mox | {0} | 0 | Artifact | mythic | Imprint — When this artifact enters, you may exile a nonartifact, nonland card from your hand. {T}: Add one mana of any of the exiled card's colors.
30.3 | 0.11 | 4 | legal | Arcane Signet | {2} | 2 | Artifact | uncommon | {T}: Add one mana of any color in your commander's color identity.
29.7 | 3.29 | 1 | legal | Mirage Mirror | {3} | 3 | Artifact | rare | {2}: This artifact becomes a copy of target artifact, creature, enchantment, or land until end of turn.
29.7 | 0.08 | 1 | side | Eternal Witness | {1}{G}{G} | 3 | Creature — Human Shaman | uncommon | When this creature enters, you may return target card from your graveyard to your hand.
29.6 | 3.05 | 1 | legal | Heaped Harvest | {2}{G} | 3 | Artifact — Food | common | When this artifact enters and when you sacrifice it, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle. {2}, {T}, Sacrifice this artifact: You gain 3 life.
29.5 | 2.50 | 1 | legal | Vexing Bauble | {1} | 1 | Artifact | uncommon | Whenever a player casts a spell, if no mana was spent to cast it, counter that spell. {1}, {T}, Sacrifice this artifact: Draw a card.
29.3 | 3.46 | 1 | deck | Giant Opportunity | {2}{G} | 3 | Sorcery | uncommon | You may sacrifice two Foods. If you do, create a 7/7 green Giant creature token. Otherwise, create three Food tokens. (They're artifacts with "{2}, {T}, Sacrifice this token: You gain 3 life.")
27.9 | 3.88 | 4 | legal | Chrome Dome | {2} | 2 | Artifact Creature — Robot Ninja | rare | Other artifact creatures you control get +1/+0. {5}: Create a token that's a copy of another target artifact you control. That token gains haste. Sacrifice it at the beginning of the next end step.
26.9 | 0.13 | 1 | legal | Lightning Greaves | {2} | 2 | Artifact — Equipment | uncommon | Equipped creature has haste and shroud. (It can't be the target of spells or abilities.) Equip {0}
26.9 | 0.79 | 1 | deck | Force of Vigor | {2}{G}{G} | 4 | Instant | rare | If it's not your turn, you may exile a green card from your hand rather than pay this spell's mana cost. Destroy up to two target artifacts and/or enchantments.
26.7 | 0.48 | 1 | deck | Fog | {G} | 1 | Instant | common | Prevent all combat damage that would be dealt this turn.
26.4 | 1.43 | 1 | side | Endurance | {1}{G}{G} | 3 | Creature — Elemental Incarnation | mythic | Flash Reach When this creature enters, up to one target player puts all the cards from their graveyard on the bottom of their library in a random order. Evoke—Exile a green card from your hand.
26.2 | 2.01 | 1 | legal | Expedition Map | {1} | 1 | Artifact | common | {2}, {T}, Sacrifice this artifact: Search your library for a land card, reveal it, put it into your hand, then shuffle.
25.9 | 1.43 | 1 | legal | Noxious Revival | {G/P} | 1 | Instant | uncommon | ({G/P} can be paid with either {G} or 2 life.) Put target card from a graveyard on top of its owner's library.
25.4 | 0.04 | 1 | legal | Harmonize | {2}{G}{G} | 4 | Sorcery | uncommon | Draw three cards.
25.4 | 1.49 | 2 | db:not_legal | The One Ring | {4} | 4 | Legendary Artifact | mythic | Indestructible When The One Ring enters, if you cast it, you gain protection from everything until your next turn. At the beginning of your upkeep, you lose 1 life for each burden counter on The One Ring. {T}: Put a burden counter on The One Ring, then draw a card for each burden counter on The One Ring.
25.4 | 1.21 | 2 | db:banned | Obscuring Haze | {2}{G} | 3 | Instant | rare | If you control a commander, you may cast this spell without paying its mana cost. Prevent all damage that would be dealt this turn by creatures your opponents control.
25.1 | 2.96 | 1 | deck | Bosco, Just a Bear | {4}{G} | 5 | Legendary Creature — Bear | uncommon | When Bosco enters, create a Food token for each legendary creature you control. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") {2}{G}, Sacrifice a Food: Put two +1/+1 counters on Bosco. He gains trample until end of turn.
24.6 | 0.24 | 1 | legal | Sylvan Library | {1}{G} | 2 | Enchantment | mythic | At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library.
23.3 | -0.73 | 1 | deck | Cultivate | {2}{G} | 3 | Sorcery | common | Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.
21.8 | 0.14 | 1 | legal | Tamiyo's Safekeeping | {G} | 1 | Instant | common | Target permanent you control gains hexproof and indestructible until end of turn. You gain 2 life. (A permanent with hexproof and indestructible can't be the target of spells or abilities your opponents control. Damage and effects that say "destroy" don't destroy it.)
21.5 | -0.64 | 1 | deck | Rampant Growth | {1}{G} | 2 | Sorcery | common | Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
21.4 | -0.05 | 2 | legal | Craterhoof Behemoth | {5}{G}{G}{G} | 8 | Creature — Beast | mythic | Haste When this creature enters, creatures you control gain trample and get +X/+X until end of turn, where X is the number of creatures you control.
21.3 | 3.57 | 1 | deck | Halsin, Emerald Archdruid | {3}{G} | 4 | Legendary Creature — Elf Druid | uncommon | {1}: Until end of turn, target token you control becomes a green Bear creature with base power and toughness 4/4 in addition to its other colors and types. Choose a Background (You can have a Background as a second commander.)
20.0 | 3.67 | 1 | deck | Wicked Wolf | {2}{G}{G} | 4 | Creature — Wolf | rare | When this creature enters, it fights up to one target creature you don't control. Sacrifice a Food: Put a +1/+1 counter on this creature. It gains indestructible until end of turn. Tap it.
19.7 | -0.01 | 1 | deck | Kenrith's Transformation | {1}{G} | 2 | Enchantment — Aura | uncommon | Enchant creature When this Aura enters, draw a card. Enchanted creature loses all abilities and is a green Elk creature with base power and toughness 3/3. (It loses all other card types and creature types.)
18.9 | 0.59 | 1 | legal | Misty Rainforest |  | 0 | Land | rare | {T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.
18.4 | -0.48 | 1 | legal | Reliquary Tower |  | 0 | Land | uncommon | You have no maximum hand size. {T}: Add {C}.
17.9 | 0.52 | 3 | legal | Genesis Wave | {X}{G}{G}{G} | 3 | Sorcery | rare | Reveal the top X cards of your library. You may put any number of permanent cards with mana value X or less from among them onto the battlefield. Then put all cards revealed this way that weren't put onto the battlefield into your graveyard.
17.0 | 1.67 | 1 | deck | Arachnogenesis | {2}{G} | 3 | Instant | rare | Create X 1/2 green Spider creature tokens with reach, where X is the number of creatures attacking you. Prevent all combat damage that would be dealt this turn by non-Spider creatures.
16.8 | 3.52 | 1 | legal | Lembas | {2} | 2 | Artifact — Food | common | When this artifact enters, scry 1, then draw a card. {2}, {T}, Sacrifice this artifact: You gain 3 life. When this artifact is put into a graveyard from the battlefield, its owner shuffles it into their library.
16.7 | -0.55 | 4 | legal | Swiftfoot Boots | {2} | 2 | Artifact — Equipment | uncommon | Equipped creature has hexproof and haste. (It can't be the target of spells or abilities your opponents control. It can attack and {T} no matter when it came under your control.) Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
16.0 | -0.07 | 1 | legal | Utopia Sprawl | {G} | 1 | Enchantment — Aura | uncommon | Enchant Forest As this Aura enters, choose a color. Whenever enchanted Forest is tapped for mana, its controller adds an additional one mana of the chosen color.
15.8 | 3.27 | 4 | deck | Party Dude | {G} | 1 | Enchantment — Class | rare | (Gain the next level as a sorcery to add its ability.) When this Class enters, each player creates a Food token. {1}{G}: Level 2 Whenever an artifact an opponent controls is put into a graveyard from the battlefield, draw a card. {4}{G}: Level 3 Whenever one or more of your opponents are attacked, up to one target attacking creature gets +X/+X until end of turn, where X is the number of cards in your hand.
15.1 | 2.64 | 4 | legal | Agatha's Soul Cauldron | {2} | 2 | Legendary Artifact | mythic | You may spend mana as though it were mana of any color to activate abilities of creatures you control. Creatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron. {T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.
14.9 | 1.54 | 1 | legal | Defend the Rider | {G} | 1 | Instant | uncommon | Choose one — • Target permanent you control gains hexproof and indestructible until end of turn. • Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater."
14.7 | 2.12 | 1 | legal | Tezzeret, Cruel Captain | {3} | 3 | Legendary Planeswalker — Tezzeret | mythic | Whenever an artifact you control enters, put a loyalty counter on Tezzeret. 0: Untap target artifact or creature. If it's an artifact creature, put a +1/+1 counter on it. −3: Search your library for an artifact card with mana value 1 or less, reveal it, put it into your hand, then shuffle. −7: You get an emblem with "At the beginning of combat on your turn, put three +1/+1 counters on target artifact you control. If it's not a creature, it becomes a 0/0 Robot artifact creature."
14.5 | 1.74 | 1 | side | Pest Infestation | {X}{X}{G} | 1 | Sorcery | rare | Destroy up to X target artifacts and/or enchantments. Create twice X 1/1 black and green Pest creature tokens with "When this token dies, you gain 1 life."
13.8 | 3.28 | 4 | legal | Eager Trufflesnout | {2}{G} | 3 | Creature — Boar | uncommon | Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) Whenever this creature deals combat damage to a player, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
13.1 | 1.22 | 4 | legal | Royal Treatment | {G} | 1 | Instant | uncommon | Target creature you control gains hexproof until end of turn. Create a Royal Role token attached to that creature. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ward {1}.)
12.2 | 0.74 | 4 | deck | Ba Sing Se |  | 0 | Land | rare | This land enters tapped unless you control a basic land. {T}: Add {G}. {2}{G}, {T}: Earthbend 2. Activate only as a sorcery. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
12.2 | 2.58 | 1 | legal | Michelangelo, the Heart | {1}{G} | 2 | Legendary Creature — Mutant Ninja Turtle | mythic | Trample Raid (the Fridge) — At the beginning of your second main phase, if you attacked this turn, put a +1/+1 counter on target creature and create a Food token. Partner—Character select (You can have two commanders if both have this ability.)
11.8 | 3.59 | 3 | legal | Instant Ramen | {2} | 2 | Artifact — Food | common | Flash When this artifact enters, draw a card. {2}, {T}, Sacrifice this artifact: You gain 3 life.
11.4 | 1.50 | 1 | legal | Buried Ruin |  | 0 | Land | uncommon | {T}: Add {C}. {2}, {T}, Sacrifice this land: Return target artifact card from your graveyard to your hand.
11.2 | -0.76 | 2 | legal | The Great Henge | {7}{G}{G} | 9 | Legendary Artifact | mythic | This spell costs {X} less to cast, where X is the greatest power among creatures you control. {T}: Add {G}{G}. You gain 2 life. Whenever a nontoken creature you control enters, put a +1/+1 counter on it and draw a card.
10.9 | 2.46 | 1 | legal | Mutagen Man, Living Ooze | {X}{G}{G} | 2 | Legendary Creature — Ooze Mutant | rare | Trample Activated abilities of artifact tokens you control cost {1} less to activate. When Mutagen Man enters, create X Mutagen tokens. (They're artifacts with "{1}, {T}, Sacrifice this token: Put a +1/+1 counter on target creature. Activate only as a sorcery.")
10.9 | -1.20 | 2 | deck | Return of the Wildspeaker | {4}{G} | 5 | Instant | mythic | Choose one — • Draw cards equal to the greatest power among non-Human creatures you control. • Non-Human creatures you control get +3/+3 until end of turn.
10.6 | 3.17 | 4 | legal | Hot Dog Cart | {3} | 3 | Artifact | common | When this artifact enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") {T}: Add one mana of any color.
10.6 | -1.20 | 1 | deck | Kodama's Reach | {2}{G} | 3 | Sorcery — Arcane | common | Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.
10.4 | -0.57 | 1 | deck | Toski, Bearer of Secrets | {3}{G} | 4 | Legendary Creature — Squirrel | rare | This spell can't be countered. Indestructible Toski attacks each combat if able. Whenever a creature you control deals combat damage to a player, draw a card.
10.3 | -0.97 | 1 | deck | Mosswort Bridge |  | 0 | Land | rare | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {G}. {G}, {T}: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater.
10.3 | 2.27 | 1 | legal | Mox Opal | {0} | 0 | Legendary Artifact | mythic | Metalcraft — {T}: Add one mana of any color. Activate only if you control three or more artifacts.
10.1 | -1.18 | 1 | legal | Rogue's Passage |  | 0 | Land | uncommon | {T}: Add {C}. {4}, {T}: Target creature can't be blocked this turn.
9.7 | 2.84 | 2 | legal | Gingerbrute | {1} | 1 | Artifact Creature — Food Golem | common | Haste (This creature can attack and {T} as soon as it comes under your control.) {1}: This creature can't be blocked this turn except by creatures with haste. {2}, {T}, Sacrifice this creature: You gain 3 life.
9.7 | 3.34 | 1 | legal | Creeping Crystal Coating | {2}{G} | 3 | Enchantment — Aura | uncommon | Flash Enchant creature Enchanted creature gets +0/+3 and has "Whenever this creature attacks, create a Food token." (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
9.4 | 0.64 | 4 | legal | Origin of Metalbending | {1}{G} | 2 | Instant — Lesson | common | Choose one — • Destroy target artifact or enchantment. • Put a +1/+1 counter on target creature you control. It gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)
9.3 | 2.54 | 1 | legal | Nettlecyst | {3} | 3 | Artifact — Equipment | rare | Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.) Equipped creature gets +1/+1 for each artifact and/or enchantment you control. Equip {2}
9.2 | 1.71 | 1 | deck | Tangle | {1}{G} | 2 | Instant | common | Prevent all combat damage that would be dealt this turn. Each attacking creature doesn't untap during its controller's next untap step.
8.8 | 3.21 | 1 | legal | Pippin's Bravery | {G} | 1 | Instant | common | You may sacrifice a Food. If you do, target creature gets +4/+4 until end of turn. Otherwise, that creature gets +2/+2 until end of turn.
8.6 | -0.84 | 2 | deck | Explore | {1}{G} | 2 | Sorcery | common | You may play an additional land this turn. Draw a card.
8.3 | -0.85 | 4 | side | Snakeskin Veil | {G} | 1 | Instant | common | Put a +1/+1 counter on target creature you control. It gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
8.2 | 3.89 | 4 | legal | Nutrient Block | {1} | 1 | Artifact — Food | common | Indestructible (Effects that say "destroy" don't destroy this artifact.) {2}, {T}, Sacrifice this artifact: You gain 3 life. When this artifact is put into a graveyard from the battlefield, draw a card.
8.2 | -0.91 | 2 | deck | Shamanic Revelation | {3}{G}{G} | 5 | Sorcery | rare | Draw a card for each creature you control. Ferocious — You gain 4 life for each creature you control with power 4 or greater.
8.1 | 3.41 | 2 | legal | Secluded Starforge |  | 0 | Land | rare | {T}: Add {C}. {2}, {T}, Tap X untapped artifacts you control: Target creature gets +X/+0 until end of turn. Activate only as a sorcery. {5}, {T}: Create a 2/2 colorless Robot artifact creature token.
8.0 | 3.52 | 1 | legal | Candy Trail | {1} | 1 | Artifact — Food Clue | common | When this artifact enters, scry 2. {2}, {T}, Sacrifice this artifact: You gain 3 life and draw a card.
7.9 | -0.37 | 1 | legal | Evendo, Waking Haven |  | 0 | Land — Planet | mythic | This land enters tapped. {T}: Add {G}. Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.) 12+ | {G}, {T}: Add {G} for each creature you control.
7.8 | 0.16 | 4 | deck | The Earth King | {3}{G} | 4 | Legendary Creature — Human Noble Ally | rare | When The Earth King enters, create a 4/4 green Bear creature token. Whenever one or more creatures you control with power 4 or greater attack, search your library for up to that many basic land cards, put them onto the battlefield tapped, then shuffle.
7.5 | 0.96 | 1 | side | Helix Pinnacle | {G} | 1 | Enchantment | rare | Shroud (This enchantment can't be the target of spells or abilities.) {X}: Put X tower counters on this enchantment. At the beginning of your upkeep, if there are 100 or more tower counters on this enchantment, you win the game.
7.3 | -0.26 | 2 | legal | Snow-Covered Forest |  | 0 | Basic Snow Land — Forest | common | ({T}: Add {G}.)
7.1 | -1.63 | 4 | deck | Garruk's Uprising | {2}{G} | 3 | Enchantment | uncommon | When this enchantment enters, if you control a creature with power 4 or greater, draw a card. Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.) Whenever a creature you control with power 4 or greater enters, draw a card.
7.0 | 0.13 | 4 | legal | Command Tower |  | 0 | Land | common | {T}: Add one mana of any color in your commander's color identity.
7.0 | 0.58 | 1 | deck | Spore Frog | {G} | 1 | Creature — Frog | common | Sacrifice this creature: Prevent all combat damage that would be dealt this turn.
6.9 | 3.24 | 1 | legal | The Art of Tea | {1}{G} | 2 | Instant — Lesson | common | Put a +1/+1 counter on up to one target creature you control. Create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
6.8 | 0.57 | 1 | side | Carpet of Flowers | {G} | 1 | Enchantment | uncommon | At the beginning of each of your main phases, if you haven't added mana with this ability this turn, you may add X mana of any one color, where X is the number of Islands target opponent controls.
6.5 | 2.51 | 1 | legal | Glaring Fleshraker | {2}{C} | 3 | Creature — Eldrazi Drone | uncommon | Whenever you cast a colorless spell, create a 0/1 colorless Eldrazi Spawn creature token with "Sacrifice this token: Add {C}." Whenever another colorless creature you control enters, this creature deals 1 damage to each opponent.
6.2 | 3.44 | 4 | legal | Courier of Comestibles | {1}{G} | 2 | Creature — Human Citizen | uncommon | When this creature enters, you may search your library for a Food card, reveal it, put it into your hand, then shuffle. If you don't put a card into your hand this way, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
